Country,Year,Population
ARG,1987,31326473
ARG,1988,31795517
ARG,1989,32263561
ARG,1990,32729739
ARG,1991,33193918
ARG,1992,33655151
ARG,1993,34110917
ARG,1994,34558115
ARG,1995,34994814
ARG,1996,35419682
ARG,1997,35833969
ARG,1998,36241590
ARG,1999,36648068
ARG,2000,37057452
ARG,2001,37471509
ARG,2002,37889370
ARG,2003,38309379
ARG,2004,38728696
ARG,2005,39145488
ARG,2006,39558890
ARG,2007,39970224
ARG,2008,40382389
ARG,2009,40799407
ARG,2010,41223889
ARG,2011,41656879
ARG,2012,42096739
ARG,2013,42539925
ARG,2014,42981515
ARG,2015,43417765
ARG,2016,43847430
ARG,2017,44271041
ARM,1960,1874120
ARM,1961,1941491
ARM,1962,2009526
ARM,1963,2077575
ARM,1964,2144998
ARM,1965,2211316
ARM,1966,2276031
ARM,1967,2339124
ARM,1968,2401140
ARM,1969,2462925
ARM,1970,2525065
ARM,1971,2587706
ARM,1972,2650484
ARM,1973,2712781
ARM,1974,2773747
ARM,1975,2832757
ARM,1976,2889579
ARM,1977,2944379
ARM,1978,2997411
ARM,1979,3049105
ARM,1980,3099751
ARM,1981,3148092
ARM,1982,3193686
ARM,1983,3238594
ARM,1984,3285595
ARM,1985,3335935
ARM,1986,3392256
ARM,1987,3451942
ARM,1988,3504651
ARM,1989,3536469
ARM,1990,3538165
ARM,1991,3505251
ARM,1992,3442810
ARM,1993,3363098
ARM,1994,3283660
ARM,1995,3217342
ARM,1996,3168215
ARM,1997,3133086
ARM,1998,3108684
ARM,1999,3089017
ARM,2000,3069588
ARM,2001,3050655
ARM,2002,3033897
ARM,2003,3017806
ARM,2004,3000612
ARM,2005,2981259
ARM,2006,2958500
ARM,2007,2933056
ARM,2008,2908220
ARM,2009,2888584
ARM,2010,2877311
ARM,2011,2875581
ARM,2012,2881922
ARM,2013,2893509
ARM,2014,2906220
ARM,2015,2916950
ARM,2016,2924816
ARM,2017,2930450
ASM,1960,20013
ASM,1961,20486
ASM,1962,21117
ASM,1963,21882
ASM,1964,22698
ASM,1965,23520
ASM,1966,24321
ASM,1967,25116
ASM,1968,25885
ASM,1969,26614
ASM,1970,27292
ASM,1971,27916
ASM,1972,28492
ASM,1973,29014
ASM,1974,29488
ASM,1975,29932
ASM,1976,30321
ASM,1977,30689
ASM,1978,31102
ASM,1979,31673
ASM,1980,32457
ASM,1981,33493
ASM,1982,34738
ASM,1983,36160
ASM,1984,37688
ASM,1985,39241
ASM,1986,40837
ASM,1987,42450
ASM,1988,44047
ASM,1989,45593
ASM,1990,47038
ASM,1991,48375
ASM,1992,49593
ASM,1993,50720
ASM,1994,51803
ASM,1995,52868
ASM,1996,53929
ASM,1997,54941
ASM,1998,55901
ASM,1999,56770
ASM,2000,57521
ASM,2001,58175
ASM,2002,58731
ASM,2003,59117
ASM,2004,59264
ASM,2005,59118
ASM,2006,58650
ASM,2007,57903
ASM,2008,57030
ASM,2009,56227
ASM,2010,55637
ASM,2011,55320
ASM,2012,55230
ASM,2013,55307
ASM,2014,55437
ASM,2015,55537
ASM,2016,55599
ASM,2017,55641
ATG,1960,55339
ATG,1961,56144
ATG,1962,57144
ATG,1963,58294
ATG,1964,59524
ATG,1965,60781
ATG,1966,62059
ATG,1967,63360
ATG,1968,64655
ATG,1969,65910
ATG,1970,67098
ATG,1971,68188
ATG,1972,69176
ATG,1973,70066
ATG,1974,70878
ATG,1975,71609
ATG,1976,72285
ATG,1977,72875
ATG,1978,73324
ATG,1979,73528
ATG,1980,73442
ATG,1981,73066
ATG,1982,72448
ATG,1983,71639
ATG,1984,70725
ATG,1985,69782
ATG,1986,68809
ATG,1987,67845
ATG,1988,67058
ATG,1989,66627
ATG,1990,66696
ATG,1991,67307
ATG,1992,68427
ATG,1993,69938
ATG,1994,71719
ATG,1995,73619
ATG,1996,75628
ATG,1997,77739
ATG,1998,79851
ATG,1999,81831
ATG,2000,83584
ATG,2001,85057
ATG,2002,86266
ATG,2003,87293
ATG,2004,88257
ATG,2005,89253
ATG,2006,90301
ATG,2007,91381
ATG,2008,92478
ATG,2009,93581
ATG,2010,94661
ATG,2011,95719
ATG,2012,96777
ATG,2013,97824
ATG,2014,98875
ATG,2015,99923
ATG,2016,100963
ATG,2017,102012
AUS,1960,10276477
AUS,1961,10483000
AUS,1962,10742000
AUS,1963,10950000
AUS,1964,11167000
AUS,1965,11388000
AUS,1966,11651000
AUS,1967,11799000
AUS,1968,12009000
AUS,1969,12263000
AUS,1970,12507000
AUS,1971,12937000
AUS,1972,13177000
AUS,1973,13380000
AUS,1974,13723000
AUS,1975,13893000
AUS,1976,14033000
AUS,1977,14192000
AUS,1978,14358000
AUS,1979,14514000
AUS,1980,14692000
AUS,1981,14927000
AUS,1982,15178000
AUS,1983,15369000
AUS,1984,15544000
AUS,1985,15758000
AUS,1986,16018400
AUS,1987,16263900
AUS,1988,16532200
AUS,1989,16814400
AUS,1990,17065100
AUS,1991,17284000
AUS,1992,17495000
AUS,1993,17667000
AUS,1994,17855000
AUS,1995,18072000
AUS,1996,18311000
AUS,1997,18517000
AUS,1998,18711000
AUS,1999,18926000
AUS,2000,19153000
AUS,2001,19413000
AUS,2002,19651400
AUS,2003,19895400
AUS,2004,20127400
AUS,2005,20394800
AUS,2006,20697900
AUS,2007,20827600
AUS,2008,21249200
AUS,2009,21691700
AUS,2010,22031750
AUS,2011,22340024
AUS,2012,22742475
AUS,2013,23145901
AUS,2014,23504138
AUS,2015,23850784
AUS,2016,24210809
AUS,2017,24598933
AUT,1960,7047539
AUT,1961,7086299
AUT,1962,7129864
AUT,1963,7175811
AUT,1964,7223801
AUT,1965,7270889
AUT,1966,7322066
AUT,1967,7376998
AUT,1968,7415403
AUT,1969,7441055
AUT,1970,7467086
AUT,1971,7500482
AUT,1972,7544201
AUT,1973,7586115
AUT,1974,7599038
AUT,1975,7578903
AUT,1976,7565525
AUT,1977,7568430
AUT,1978,7562305
AUT,1979,7549425
AUT,1980,7549433
AUT,1981,7568710
AUT,1982,7574140
AUT,1983,7561910
AUT,1984,7561434
AUT,1985,7564985
AUT,1986,7569794
AUT,1987,7574586
AUT,1988,7585317
AUT,1989,7619567
AUT,1990,7677850
AUT,1991,7754891
AUT,1992,7840709
AUT,1993,7905633
AUT,1994,7936118
AUT,1995,7948278
AUT,1996,7959017
AUT,1997,7968041
AUT,1998,7976789
AUT,1999,7992324
AUT,2000,8011566
AUT,2001,8042293
AUT,2002,8081957
AUT,2003,8121423
AUT,2004,8171966
AUT,2005,8227829
AUT,2006,8268641
AUT,2007,8295487
AUT,2008,8321496
AUT,2009,8343323
AUT,2010,8363404
AUT,2011,8391643
AUT,2012,8429991
AUT,2013,8479823
AUT,2014,8546356
AUT,2015,8642699
AUT,2016,8736668
AUT,2017,8809212
AZE,1960,3895396
AZE,1961,4030320
AZE,1962,4171425
AZE,1963,4315128
AZE,1964,4456689
AZE,1965,4592610
AZE,1966,4721525
AZE,1967,4843870
AZE,1968,4960235
AZE,1969,5071930
AZE,1970,5180025
AZE,1971,5284532
AZE,1972,5385267
AZE,1973,5483084
AZE,1974,5579077
AZE,1975,5674137
AZE,1976,5768724
AZE,1977,5863134
AZE,1978,5957929
AZE,1979,6053645
AZE,1980,6150738
AZE,1981,6249320
AZE,1982,6349558
AZE,1983,6452076
AZE,1984,6557585
AZE,1985,6666455
AZE,1986,6778633
AZE,1987,6893500
AZE,1988,7010036
AZE,1989,7126891
AZE,1990,7159000
AZE,1991,7271000
AZE,1992,7382000
AZE,1993,7495000
AZE,1994,7597000
AZE,1995,7685000
AZE,1996,7763000
AZE,1997,7838250
AZE,1998,7913000
AZE,1999,7982750
AZE,2000,8048600
AZE,2001,8111200
AZE,2002,8171950
AZE,2003,8234100
AZE,2004,8306500
AZE,2005,8391850
AZE,2006,8484550
AZE,2007,8581300
AZE,2008,8763400
AZE,2009,8947243
AZE,2010,9054332
AZE,2011,9173082
AZE,2012,9295784
AZE,2013,9416801
AZE,2014,9535079
AZE,2015,9649341
AZE,2016,9757812
AZE,2017,9862429
BDI,1960,2786106
BDI,1961,2839666
BDI,1962,2893669
BDI,1963,2949926
BDI,1964,3010859
BDI,1965,3077876
BDI,1966,3152723
BDI,1967,3234023
BDI,1968,3316233
BDI,1969,3391753
BDI,1970,3455606
BDI,1971,3505391
BDI,1972,3544047
BDI,1973,3578490
BDI,1974,3618585
BDI,1975,3671494
BDI,1976,3739659
BDI,1977,3821194
BDI,1978,3913768
BDI,1979,4013310
BDI,1980,4116817
BDI,1981,4223195
BDI,1982,4333386
BDI,1983,4448728
BDI,1984,4571292
BDI,1985,4702066
BDI,1986,4841565
BDI,1987,4987736
BDI,1988,5135956
BDI,1989,5280024
BDI,1990,5415415
BDI,1991,5542048
BDI,1992,5661139
BDI,1993,5771398
BDI,1994,5871607
BDI,1995,5962058
BDI,1996,6041112
BDI,1997,6112097
BDI,1998,6186352
BDI,1999,6278940
BDI,2000,6400706
BDI,2001,6555829
BDI,2002,6741569
BDI,2003,6953113
BDI,2004,7182451
BDI,2005,7423289
BDI,2006,7675338
BDI,2007,7939573
BDI,2008,8212264
BDI,2009,8489031
BDI,2010,8766930
BDI,2011,9043508
BDI,2012,9319710
BDI,2013,9600186
BDI,2014,9891790
BDI,2015,10199270
BDI,2016,10524117
BDI,2017,10864245
BEL,1960,9153489
BEL,1961,9183948
BEL,1962,9220578
BEL,1963,9289770
BEL,1964,9378113
BEL,1965,9463667
BEL,1966,9527807
BEL,1967,9580991
BEL,1968,9618756
BEL,1969,9646032
BEL,1970,9655549
BEL,1971,9673162
BEL,1972,9711115
BEL,1973,9741720
BEL,1974,9772419
BEL,1975,9800700
BEL,1976,9818227
BEL,1977,9830358
BEL,1978,9839534
BEL,1979,9848382
BEL,1980,9859242
BEL,1981,9858982
BEL,1982,9856303
BEL,1983,9855520
BEL,1984,9855372
BEL,1985,9858308
BEL,1986,9861823
BEL,1987,9870234
BEL,1988,9901664
BEL,1989,9937697
BEL,1990,9967379
BEL,1991,10004486
BEL,1992,10045158
BEL,1993,10084475
BEL,1994,10115603
BEL,1995,10136811
BEL,1996,10156637
BEL,1997,10181245
BEL,1998,10203008
BEL,1999,10226419
BEL,2000,10251250
BEL,2001,10286570
BEL,2002,10332785
BEL,2003,10376133
BEL,2004,10421137
BEL,2005,10478617
BEL,2006,10547958
BEL,2007,10625700
BEL,2008,10709973
BEL,2009,10796493
BEL,2010,10895586
BEL,2011,11047744
BEL,2012,11128246
BEL,2013,11182817
BEL,2014,11209057
BEL,2015,11274196
BEL,2016,11331422
BEL,2017,11372068
BEN,1960,2431622
BEN,1961,2465867
BEN,1962,2502896
BEN,1963,2542859
BEN,1964,2585965
BEN,1965,2632356
BEN,1966,2682159
BEN,1967,2735307
BEN,1968,2791590
BEN,1969,2850661
BEN,1970,2912340
BEN,1971,2976572
BEN,1972,3043567
BEN,1973,3113675
BEN,1974,3187412
BEN,1975,3265165
BEN,1976,3347173
BEN,1977,3433439
BEN,1978,3523938
BEN,1979,3618526
BEN,1980,3717165
BEN,1981,3820128
BEN,1982,3927714
BEN,1983,4039949
BEN,1984,4156819
BEN,1985,4278501
BEN,1986,4404506
BEN,1987,4535263
BEN,1988,4672852
BEN,1989,4820016
BEN,1990,4978496
BEN,1991,5149499
BEN,1992,5331803
BEN,1993,5521763
BEN,1994,5714220
BEN,1995,5905558
BEN,1996,6094259
BEN,1997,6281639
BEN,1998,6470265
BEN,1999,6664098
BEN,2000,6865951
BEN,2001,7076733
BEN,2002,7295394
BEN,2003,7520555
BEN,2004,7750004
BEN,2005,7982225
BEN,2006,8216896
BEN,2007,8454791
BEN,2008,8696916
BEN,2009,8944706
BEN,2010,9199259
BEN,2011,9460802
BEN,2012,9729160
BEN,2013,10004451
BEN,2014,10286712
BEN,2015,10575952
BEN,2016,10872298
BEN,2017,11175692
BFA,1960,4829288
BFA,1961,4894580
BFA,1962,4960326
BFA,1963,5027821
BFA,1964,5098890
BFA,1965,5174870
BFA,1966,5256363
BFA,1967,5343019
BFA,1968,5434041
BFA,1969,5528174
BFA,1970,5624600
BFA,1971,5723381
BFA,1972,5825173
BFA,1973,5930483
BFA,1974,6040041
BFA,1975,6154545
BFA,1976,6274037
BFA,1977,6398935
BFA,1978,6530819
BFA,1979,6671656
BFA,1980,6822843
BFA,1981,6985160
BFA,1982,7158255
BFA,1983,7340905
BFA,1984,7531242
BFA,1985,7727907
BFA,1986,7930694
BFA,1987,8140073
BFA,1988,8356305
BFA,1989,8579823
BFA,1990,8811034
BFA,1991,9050084
BFA,1992,9297113
BFA,1993,9552476
BFA,1994,9816588
BFA,1995,10089878
BFA,1996,10372745
BFA,1997,10665546
BFA,1998,10968724
BFA,1999,11282701
BFA,2000,11607942
BFA,2001,11944587
BFA,2002,12293100
BFA,2003,12654621
BFA,2004,13030569
BFA,2005,13421930
BFA,2006,13829177
BFA,2007,14252021
BFA,2008,14689726
BFA,2009,15141099
BFA,2010,15605217
BFA,2011,16081904
BFA,2012,16571216
BFA,2013,17072723
BFA,2014,17585977
BFA,2015,18110624
BFA,2016,18646433
BFA,2017,19193382
BGD,1960,48199747
BGD,1961,49592802
BGD,1962,51030137
BGD,1963,52532417
BGD,1964,54129100
BGD,1965,55834038
BGD,1966,57672990
BGD,1967,59620669
BGD,1968,61579473
BGD,1969,63417394
BGD,1970,65047770
BGD,1971,66424744
BGD,1972,67597470
BGD,1973,68691185
BGD,1974,69884420
BGD,1975,71305923
BGD,1976,72999136
BGD,1977,74925896
BGD,1978,77033846
BGD,1979,79236776
BGD,1980,81470860
BGD,1981,83721268
BGD,1982,86007331
BGD,1983,88338242
BGD,1984,90732362
BGD,1985,93199865
BGD,1986,95742431
BGD,1987,98343809
BGD,1988,100975321
BGD,1989,103599232
BGD,1990,106188642
BGD,1991,108727432
BGD,1992,111221938
BGD,1993,113695139
BGD,1994,116182267
BGD,1995,118706871
BGD,1996,121269645
BGD,1997,123854640
BGD,1998,126447965
BGD,1999,129029691
BGD,2000,131581243
BGD,2001,134107160
BGD,2002,136600667
BGD,2003,139019001
BGD,2004,141307489
BGD,2005,143431101
BGD,2006,145368004
BGD,2007,147139191
BGD,2008,148805814
BGD,2009,150454708
BGD,2010,152149102
BGD,2011,153911916
BGD,2012,155727053
BGD,2013,157571292
BGD,2014,159405279
BGD,2015,161200886
BGD,2016,162951560
BGD,2017,164669751
BGR,1960,7867374
BGR,1961,7943118
BGR,1962,8012946
BGR,1963,8078145
BGR,1964,8144340
BGR,1965,8204168
BGR,1966,8258057
BGR,1967,8310226
BGR,1968,8369603
BGR,1969,8434172
BGR,1970,8489574
BGR,1971,8536395
BGR,1972,8576200
BGR,1973,8620967
BGR,1974,8678745
BGR,1975,8720742
BGR,1976,8758599
BGR,1977,8804183
BGR,1978,8814032
BGR,1979,8825940
BGR,1980,8861535
BGR,1981,8891117
BGR,1982,8917457
BGR,1983,8939738
BGR,1984,8960679
BGR,1985,8960547
BGR,1986,8958171
BGR,1987,8971359
BGR,1988,8981446
BGR,1989,8876972
BGR,1990,8718289
BGR,1991,8632367
BGR,1992,8540164
BGR,1993,8472313
BGR,1994,8443591
BGR,1995,8406067
BGR,1996,8362826
BGR,1997,8312068
BGR,1998,8256786
BGR,1999,8210624
BGR,2000,8170172
BGR,2001,8009142
BGR,2002,7837161
BGR,2003,7775327
BGR,2004,7716860
BGR,2005,7658972
BGR,2006,7601022
BGR,2007,7545338
BGR,2008,7492561
BGR,2009,7444443
BGR,2010,7395599
BGR,2011,7348328
BGR,2012,7305888
BGR,2013,7265115
BGR,2014,7223938
BGR,2015,7177991
BGR,2016,7127822
BGR,2017,7075991
BHR,1960,162427
BHR,1961,167894
BHR,1962,173144
BHR,1963,178140
BHR,1964,182887
BHR,1965,187431
BHR,1966,191780
BHR,1967,196063
BHR,1968,200653
BHR,1969,206043
BHR,1970,212605
BHR,1971,220312
BHR,1972,229155
BHR,1973,239527
BHR,1974,251911
BHR,1975,266543
BHR,1976,283752
BHR,1977,303175
BHR,1978,323473
BHR,1979,342798
BHR,1980,359888
BHR,1981,374120
BHR,1982,385950
BHR,1983,396454
BHR,1984,407227
BHR,1985,419430
BHR,1986,433482
BHR,1987,448973
BHR,1988,465202
BHR,1989,481090
BHR,1990,495931
BHR,1991,509765
BHR,1992,523087
BHR,1993,536213
BHR,1994,549588
BHR,1995,563699
BHR,1996,578668
BHR,1997,594930
BHR,1998,613702
BHR,1999,636545
BHR,2000,664614
BHR,2001,697549
BHR,2002,735148
BHR,2003,778711
BHR,2004,829848
BHR,2005,889168
BHR,2006,958414
BHR,2007,1035891
BHR,2008,1114590
BHR,2009,1185029
BHR,2010,1240862
BHR,2011,1278269
BHR,2012,1300217
BHR,2013,1315411
BHR,2014,1336397
BHR,2015,1371855
BHR,2016,1425171
BHR,2017,1492584
BHS,1960,109528
BHS,1961,115108
BHS,1962,121083
BHS,1963,127333
BHS,1964,133698
BHS,1965,140054
BHS,1966,146366
BHS,1967,152609
BHS,1968,158627
BHS,1969,164248
BHS,1970,169354
BHS,1971,173863
BHS,1972,177839
BHS,1973,181488
BHS,1974,185099
BHS,1975,188882
BHS,1976,192902
BHS,1977,197111
BHS,1978,201513
BHS,1979,206032
BHS,1980,210661
BHS,1981,215396
BHS,1982,220275
BHS,1983,225187
BHS,1984,230015
BHS,1985,234687
BHS,1986,239131
BHS,1987,243393
BHS,1988,247579
BHS,1989,251849
BHS,1990,256336
BHS,1991,261116
BHS,1992,266134
BHS,1993,271165
BHS,1994,275895
BHS,1995,280150
BHS,1996,283790
BHS,1997,286970
BHS,1998,290060
BHS,1999,293572
BHS,2000,297890
BHS,2001,303135
BHS,2002,309157
BHS,2003,315746
BHS,2004,322526
BHS,2005,329249
BHS,2006,335830
BHS,2007,342328
BHS,2008,348676
BHS,2009,354856
BHS,2010,360832
BHS,2011,366568
BHS,2012,372039
BHS,2013,377240
BHS,2014,382169
BHS,2015,386838
BHS,2016,391232
BHS,2017,395361
BIH,1960,3225668
BIH,1961,3288602
BIH,1962,3353226
BIH,1963,3417574
BIH,1964,3478995
BIH,1965,3535640
BIH,1966,3586634
BIH,1967,3632669
BIH,1968,3675452
BIH,1969,3717466
BIH,1970,3760527
BIH,1971,3805285
BIH,1972,3851151
BIH,1973,3897255
BIH,1974,3942223
BIH,1975,3985103
BIH,1976,4025265
BIH,1977,4063191
BIH,1978,4100350
BIH,1979,4138819
BIH,1980,4179855
BIH,1981,4222511
BIH,1982,4265310
BIH,1983,4308106
BIH,1984,4350746
BIH,1985,4392130
BIH,1986,4435504
BIH,1987,4478519
BIH,1988,4508056
BIH,1989,4506653
BIH,1990,4463422
BIH,1991,4371603
